ID_Empleado,Cargo,Edad,Salario,Horas_trabajadas,Nivel_Educativo
E00001,CEO,56,200000000,166,Maestría
E00002,Director,58,25317789,188,Maestría
E00003,Director,47,24735746,214,Maestría
E00004,Director,58,28853155,193,Maestría
E00005,Director,61,27909579,198,Maestría
E00006,Director,49,30255512,207,Maestría
E00007,Gerente,53,14384102,180,Maestría
E00008,Gerente,47,18209781,169,Maestría
E00009,Gerente,55,18843907,195,Maestría
E00010,Gerente,41,14569463,218,Maestría
E00011,Gerente,53,17101435,171,Maestría
E00012,Gerente,50,16007706,192,Maestría
E00013,Gerente,58,21747042,226,Maestría
E00014,Gerente,53,14192397,192,Profesional
E00015,Gerente,57,16947834,220,Maestría
E00016,Gerente,58,16387690,215,Maestría
E00017,Gerente,43,14910228,208,Profesional
E00018,Gerente,41,19145062,177,Maestría
E00019,Gerente,40,20427385,195,Maestría
E00020,Gerente,57,15809871,164,Profesional
E00021,Gerente,44,12739898,182,Profesional
E00022,Gerente,40,10091213,176,Profesional
E00023,Gerente,49,18391998,228,Maestría
E00024,Gerente,48,18827331,220,Maestría
E00025,Gerente,59,19591034,169,Maestría
E00026,Gerente,38,18288621,210,Maestría
E00027,Gerente,44,17665747,168,Maestría
E00028,Gerente,38,14338852,223,Profesional
E00029,Gerente,41,17312134,213,Maestría
E00030,Gerente,58,18376796,185,Maestría
E00031,Gerente,51,14499453,171,Profesional
E00032,Jefe de Área,43,10957165,190,Profesional
E00033,Jefe de Área,36,13748438,173,Maestría
E00034,Jefe de Área,41,12547255,228,Maestría
E00035,Jefe de Área,55,11830512,179,Maestría
E00036,Jefe de Área,46,10216291,226,Profesional
E00037,Jefe de Área,55,13360515,187,Maestría
E00038,Jefe de Área,57,8485922,208,Profesional
E00039,Jefe de Área,54,9856398,173,Profesional
E00040,Jefe de Área,43,11481351,175,Maestría
E00041,Jefe de Área,42,11878687,174,Maestría
E00042,Jefe de Área,57,10254836,194,Profesional
E00043,Jefe de Área,57,11841847,212,Maestría
E00044,Jefe de Área,47,10724788,208,Maestría
E00045,Jefe de Área,54,11350579,187,Profesional
E00046,Jefe de Área,48,14627212,186,Maestría
E00047,Jefe de Área,54,11757680,182,Maestría
E00048,Jefe de Área,50,13517323,164,Maestría
E00049,Jefe de Área,45,10361541,172,Profesional
E00050,Jefe de Área,40,11980861,206,Maestría
E00051,Jefe de Área,48,9910157,229,Profesional
E00052,Jefe de Área,40,10889781,224,Maestría
E00053,Jefe de Área,49,10544549,222,Profesional
E00054,Jefe de Área,35,11436051,194,Maestría
E00055,Jefe de Área,39,12744536,219,Maestría
E00056,Jefe de Área,48,10506348,206,Profesional
E00057,Jefe de Área,52,12344311,203,Maestría
E00058,Jefe de Área,37,11628312,181,Profesional
E00059,Jefe de Área,45,11903267,220,Maestría
E00060,Jefe de Área,52,12104496,229,Maestría
E00061,Jefe de Área,54,11266582,199,Profesional
E00062,Jefe de Área,45,9921870,184,Maestría
E00063,Jefe de Área,44,10720515,223,Profesional
E00064,Jefe de Área,43,10983681,212,Profesional
E00065,Jefe de Área,40,11261355,170,Profesional
E00066,Jefe de Área,40,12053564,176,Maestría
E00067,Jefe de Área,46,11276941,204,Maestría
E00068,Jefe de Área,37,13423148,176,Maestría
E00069,Jefe de Área,40,12813451,191,Profesional
E00070,Jefe de Área,43,15159316,188,Maestría
E00071,Jefe de Área,41,10934804,212,Profesional
E00072,Jefe de Área,48,11498907,217,Profesional
E00073,Jefe de Área,53,14913578,164,Maestría
E00074,Jefe de Área,45,8982416,221,Profesional
E00075,Jefe de Área,39,12761716,172,Maestría
E00076,Jefe de Área,48,11202516,202,Profesional
E00077,Jefe de Área,40,14127997,189,Maestría
E00078,Jefe de Área,54,10675262,172,Profesional
E00079,Jefe de Área,46,12206301,170,Maestría
E00080,Jefe de Área,50,13403133,227,Maestría
E00081,Jefe de Área,41,12167310,186,Profesional
E00082,Jefe de Área,35,9339798,167,Profesional
E00083,Jefe de Área,56,11877235,222,Maestría
E00084,Jefe de Área,45,12294522,164,Maestría
E00085,Jefe de Área,42,11616503,170,Maestría
E00086,Jefe de Área,56,12890907,187,Maestría
E00087,Jefe de Área,50,12930890,160,Maestría
E00088,Jefe de Área,36,11427883,183,Profesional
E00089,Jefe de Área,35,13043424,193,Maestría
E00090,Jefe de Área,46,13816770,222,Maestría
E00091,Jefe de Área,48,11709520,194,Profesional
E00092,Jefe de Área,38,11034137,168,Maestría
E00093,Jefe de Área,37,11756060,182,Profesional
E00094,Jefe de Área,35,11585645,190,Profesional
E00095,Jefe de Área,40,11134464,199,Profesional
E00096,Jefe de Área,43,12707399,228,Maestría
E00097,Jefe de Área,57,10608496,221,Profesional
E00098,Jefe de Área,35,12732854,215,Profesional
E00099,Jefe de Área,38,11794350,182,Maestría
E00100,Jefe de Área,52,12174874,171,Profesional
E00101,Jefe de Área,35,11903098,202,Profesional
E00102,Jefe de Área,47,11845200,170,Profesional
E00103,Jefe de Área,52,10123187,225,Profesional
E00104,Jefe de Área,36,11997973,217,Maestría
E00105,Jefe de Área,41,9695439,168,Profesional
E00106,Jefe de Área,42,12180845,160,Profesional
E00107,Jefe de Área,38,12390444,205,Maestría
E00108,Jefe de Área,42,8434032,179,Profesional
E00109,Jefe de Área,56,11429464,162,Maestría
E00110,Jefe de Área,37,9628699,172,Profesional
E00111,Jefe de Área,37,12978556,193,Maestría
E00112,Coordinador,46,8242693,208,Profesional
E00113,Coordinador,42,8547980,209,Maestría
E00114,Coordinador,41,10964099,223,Maestría
E00115,Coordinador,44,9975684,164,Maestría
E00116,Coordinador,33,9315753,162,Maestría
E00117,Coordinador,31,9037335,170,Profesional
E00118,Coordinador,39,11397198,198,Maestría
E00119,Coordinador,52,9058279,208,Profesional
E00120,Coordinador,39,9324977,172,Maestría
E00121,Coordinador,41,8934322,180,Maestría
E00122,Coordinador,31,8909218,196,Profesional
E00123,Coordinador,46,8153413,195,Profesional
E00124,Coordinador,30,7659843,215,Profesional
E00125,Coordinador,43,9483660,221,Profesional
E00126,Coordinador,51,8603816,174,Profesional
E00127,Coordinador,36,8432187,165,Profesional
E00128,Coordinador,48,10218676,210,Profesional
E00129,Coordinador,50,10721747,193,Maestría
E00130,Coordinador,44,10443866,176,Maestría
E00131,Coordinador,41,9794375,228,Profesional
E00132,Coordinador,35,11311936,182,Maestría
E00133,Coordinador,35,9357851,208,Profesional
E00134,Coordinador,43,9738379,201,Profesional
E00135,Coordinador,33,8571107,207,Profesional
E00136,Coordinador,33,7350485,174,Profesional
E00137,Coordinador,53,7070551,225,Profesional
E00138,Coordinador,47,10921643,193,Maestría
E00139,Coordinador,39,11665389,197,Maestría
E00140,Coordinador,30,10862077,179,Profesional
E00141,Coordinador,34,9596001,180,Maestría
E00142,Coordinador,36,10761989,188,Maestría
E00143,Coordinador,54,9138250,215,Maestría
E00144,Coordinador,32,8521914,206,Profesional
E00145,Coordinador,52,9001163,187,Profesional
E00146,Coordinador,32,9155764,218,Profesional
E00147,Coordinador,34,11126531,210,Maestría
E00148,Coordinador,49,9469675,167,Profesional
E00149,Coordinador,36,8174488,187,Profesional
E00150,Coordinador,42,7452952,174,Profesional
E00151,Coordinador,42,8738313,176,Profesional
E00152,Coordinador,44,11445702,220,Profesional
E00153,Coordinador,53,10355693,191,Maestría
E00154,Coordinador,30,8535622,229,Profesional
E00155,Coordinador,39,10948350,210,Maestría
E00156,Coordinador,36,9932084,162,Maestría
E00157,Coordinador,35,8881216,220,Profesional
E00158,Coordinador,51,10201573,210,Profesional
E00159,Coordinador,43,8670748,162,Profesional
E00160,Coordinador,47,9477514,206,Maestría
E00161,Coordinador,49,8583213,187,Maestría
E00162,Coordinador,52,10501124,171,Maestría
E00163,Coordinador,44,8012993,178,Profesional
